COUNTRY,GDP_per_capita_raw,Unemployment_raw,GDP_growth_raw,EconomicStability_E_raw,GDP_n,U_good,G_n,E_n,EPI_future
ALBANIA,14500.0,11.82,8.52,0.3336256464270158,0.03619047619047619,0.655438596491228,0.3850873053327041,0.3336256464270158,7.724824098404881
ANDORRA,37900.0,14.73,5.52,0.3232395491693937,0.259047619047619,0.5533333333333333,0.24351109013685696,0.3232395491693937,17.975783056148483
AUSTRALIA,49800.0,5.11,2.24,0.3537603931189587,0.37238095238095237,0.8908771929824562,0.08872109485606419,0.3537603931189587,27.309332190029483
AUSTRIA,54100.0,6.3,4.56,0.3795225631102364,0.41333333333333333,0.8491228070175438,0.19820670127418588,0.3795225631102364,30.08011825038691
BELARUS,19800.0,4.74,2.3,0.3026465657321193,0.08666666666666667,0.903859649122807,0.09155261915998111,0.3026465657321193,12.285275993379846
BELGIUM,51700.0,6.42,6.13,0.4331883679089309,0.3904761904761905,0.8449122807017544,0.2722982538933459,0.4331883679089309,31.83023783973635
BOSNIA AND HERZEGOVINA,15700.0,15.22,7.55,0.3007180611765156,0.047619047619047616,0.5361403508771929,0.3393109957527135,0.3007180611765156,7.515656719744712
BULGARIA,24400.0,5.42,7.63,0.3267926348239782,0.13047619047619047,0.88,0.3430863614912694,0.3267926348239782,16.632055995304313
CANADA,47900.0,7.51,4.54,0.3973470442848585,0.35428571428571426,0.8066666666666666,0.19726285983954694,0.3973470442848585,27.766006377101206
CHINA,12500.0,5.2,3.0,0.3483750332847528,0.017142857142857144,0.887719298245614,0.12458706937234544,0.3483750332847528,5.8695450055322045
CROATIA,31600.0,8.68,13.07,0.4225442118445978,0.19904761904761906,0.7656140350877193,0.5998112317130722,0.4225442118445978,23.256247355859102
CZECHIA,40700.0,2.89,3.54,0.3355051324401151,0.2857142857142857,0.9687719298245614,0.1500707881075979,0.3355051324401151,24.757547379955884
DENMARK,59700.0,4.8,3.8,0.4184082242696318,0.4666666666666667,0.9017543859649123,0.16234072675790465,0.4184082242696318,34.21666253747035
ESTONIA,38700.0,6.33,8.01,0.3826458981444653,0.26666666666666666,0.8480701754385965,0.36101934874941005,0.3826458981444653,25.380737200375897
FINLAND,49600.0,7.53,2.1,0.3573388418759823,0.37047619047619046,0.8059649122807018,0.08211420481359132,0.3573388418759823,25.98527049904
FRANCE,45900.0,8.1,6.8,0.4102713335917752,0.3352380952380952,0.7859649122807018,0.30391694195375174,0.4102713335917752,27.928789467893615
GERMANY,51200.0,3.0,1.8,0.3617452691047443,0.38571428571428573,0.9649122807017544,0.0679565832940066,0.3617452691047443,29.058635754101893
GREECE,29500.0,14.8,8.43,0.3564815866409379,0.17904761904761904,0.5508771929824561,0.38084001887682867,0.3564815866409379,16.26432883676342
GREENLAND,41800.0,9.1,0.36,0.1666666666666666,0.29619047619047617,0.7508771929824561,0.0,0.1666666666666666,14.913171136617512
HUNGARY,33600.0,4.12,7.12,0.2963025499404888,0.2180952380952381,0.9256140350877193,0.31901840490797545,0.2963025499404888,20.861920882523847
ICELAND,53600.0,5.4,4.4,0.3712310817394378,0.4085714285714286,0.8807017543859649,0.19065596979707408,0.3712310817394378,30.055794285283067
IRELAND,102500.0,6.63,13.59,0.6737882288507947,0.8742857142857143,0.8375438596491228,0.6243511090136857,0.6737882288507947,64.74933686007934
ITALY,41900.0,9.83,6.74,0.3845045214292685,0.29714285714285715,0.7252631578947368,0.3010854176498348,0.3845045214292685,24.433086470424602
JAPAN,39300.0,2.6,1.0,0.3534310452220067,0.2723809523809524,0.9789473684210527,0.03020292590844738,0.3534310452220067,24.017339430914127
"KOREA, SOUTH",44200.0,3.53,4.15,0.4130211560557356,0.319047619047619,0.9463157894736842,0.17885795186408684,0.4130211560557356,28.938027023792312
KOSOVO,11900.0,30.5,10.75,0.201659856225382,0.011428571428571429,0.0,0.49032562529495044,0.201659856225382,0.0
LATVIA,32100.0,7.6,4.07,0.3053341373460073,0.2038095238095238,0.8035087719298246,0.17508258612553093,0.3053341373460073,18.303887470318827
LIECHTENSTEIN,71000.0,5.32,4.22,0.4458886025141406,0.5742857142857143,0.8835087719298246,0.18216139688532326,0.4458886025141406,39.01633324070025
LITHUANIA,39300.0,7.9,5.98,0.3486279829119798,0.2723809523809524,0.7929824561403509,0.26521944313355356,0.3486279829119798,23.05847732104543
LUXEMBOURG,115700.0,5.23,5.1,0.5481357008913688,1.0,0.8866666666666667,0.22369042000943837,0.5481357008913688,57.88737619743688
MALTA,44700.0,3.5,10.3,0.4942307752392339,0.3238095238095238,0.9473684210526316,0.4690891930155734,0.4942307752392339,34.55666664422575
MEXICO,19100.0,4.38,4.72,0.3449912539380657,0.08,0.9164912280701755,0.20575743275129774,0.3449912539380657,13.137170131481426
MOLDOVA,14000.0,3.96,13.94,0.3804820318861198,0.03142857142857143,0.9312280701754386,0.6408683341198679,0.3804820318861198,9.765228291570676
MONACO,115700.0,2.0,21.55,0.9517078916372202,1.0,1.0,1.0,0.9517078916372202,97.55551709858445
MONTENEGRO,20600.0,18.49,12.43,0.2996381259477306,0.09428571428571429,0.4214035087719299,0.5696083058046248,0.2996381259477306,9.927608278397509
NETHERLANDS,56600.0,4.01,4.86,0.4279509618060868,0.43714285714285717,0.9294736842105263,0.21236432279377063,0.4279509618060868,34.51082383369968
NORTH MACEDONIA,16500.0,16.2,3.96,0.2166996175538534,0.05523809523809524,0.5017543859649123,0.1698914582350165,0.2166996175538534,6.33385512786523
