Country,healthcare_index,life_expectancy,infant_mortality,health_index
MONACO,75.5,86.5,1.75,90.84964154233677
JAPAN,80.1,84.85,1.88,89.7750199157338
"KOREA, SOUTH", 82.9,84.4,2.83,89.24279806576301
SINGAPORE, 71.9,86.36,1.5,88.1447042668398
SPAIN,77.2,83.8,2.4,84.01496186665445
FRANCE,77.0,83.46,2.4,82.96732210303506
NORWAY,75.8,83.46,2.28,82.24513648009378
NETHERLANDS,81.5,82.3,3.34,81.86300361069667
TAIWAN,87.1,80.75,3.9,81.14618934131128
FINLAND,77.6,82.08,2.11,80.2281157410358
AUSTRALIA,72.0,84.07,2.96,79.93588381600912
AUSTRIA,78.9,82.12,3.2,79.63903174728267
NEW ZEALAND, NA,82.25,3.6,79.37557498533108
SWITZERLAND,71.2,84.09,3.0,79.32254701192468
DENMARK,77.2,82.09,3.0,78.58298580053204
BELGIUM,76.4,82.27,3.15,78.22230352715084
ICELAND,69.1,83.01,1.63,76.99561178183775
LUXEMBOURG,74.2,82.36,3.21,76.70483780220219
PORTUGAL,72.0,82.55,2.47,76.68181962048153
SWEDEN,68.3,83.42,2.3,76.44138962711182
LIECHTENSTEIN,  ,81.2,3.98,74.58523546328428
ITALY,64.9,83.87,3.11,73.812518665612
GERMANY,72.4,81.54,3.14,73.29016643639734
CZECHIA,76.0,79.97,2.37,73.05543533807956
UNITED KINGDOM,72.7,81.45,3.8,72.26417159168895
SLOVENIA,66.2,81.78,1.5,71.76093277033256
CANADA,68.6,82.72,4.31,71.73003399948168
ANDORRA, 60.5,84.2,3.39,70.926950838249
ESTONIA,75.2,79.31,3.38,69.15677831696756
GREECE,58.9,82.03,3.49,63.8422172939713
CHINA,66.5,80.97,6.49,62.17491561438234
MALTA,53.3,83.47,4.45,61.93052388119047
UNITED STATES,67.0,79.46,5.1,60.7096683878646
LITHUANIA,75.4,76.17,3.61,60.67456665317452
IRELAND,51.2,82.58,3.41,59.596885137082964
POLAND,57.9,78.81,4.1,53.65764658803918
CROATIA,65.1,78.97,8.58,52.6280302410056
SLOVAKIA,58.2,78.49,5.3,51.19442239390632
LATVIA,63.6,76.33,4.78,50.37957537880128
BOSNIA AND HERZEGOVINA,54.6,78.04,5.1,47.59515927286403
HUNGARY,54.2,77.18,4.55,45.87141262935331
NORTH MACEDONIA,55.4,77.54,7.16,43.71207094637704
SERBIA,52.1,76.94,4.6,43.5747598393049
ROMANIA,56.5,76.09,5.65,43.043046595728306
MEXICO,72.3,75.26,12.0,43.02483243258572
MONTENEGRO,47.4,77.25,3.2,42.99437148217636
BULGARIA,58.3,76.22,7.82,41.40756837479821
ALBANIA,48.1,79.78,10.54,38.902092349484384
RUSSIA,61.6,73.34,6.33,38.599643439073326
BELARUS,49.6,74.62,3.23,37.67594653220999
TURKEY (TURKIYE),71.3,77.42,18.9,37.34923186001395
UKRAINE,55.8,74.69,9.0,33.66873681305088
VIETNAM,62.2,74.74,14.4,30.329155701890226
GREENLAND, 50.39,72.6,8.6,24.68508348897854
KOSOVO,49.0,78.88,21.0,21.11678060071498
MOLDOVA,52.2,71.33,11.38,18.4272040302267
