Country,healthcare_index,life_expectancy,infant_mortality,health_index
HEARD ISLAND AND MCDONALD ISLANDS,,,0.0,100.0
ARCTIC OCEAN,,,0.0,100.0
ATLANTIC OCEAN,,,0.0,100.0
SOUTHERN OCEAN,,,0.0,100.0
INDIAN OCEAN,,,0.0,100.0
PACIFIC OCEAN,,,0.0,100.0
GUERNSEY,,,3.3,89.75155279503106
MONACO,75.5,86.5,1.75,89.60382214434345
EUROPEAN UNION,,,3.47,89.22360248447205
"KOREA, SOUTH", 82.9,84.4,2.83,88.65230594918394
JAPAN,80.1,84.85,1.88,88.60808250531812
JERSEY,,,3.81,88.16770186335404
LIECHTENSTEIN, ,,3.98,87.63975155279502
ISLE OF MAN,,,4.16,87.0807453416149
ANDORRA,,84.2,3.39,86.82430531468557
SPAIN,77.2,83.8,2.4,83.16355240654933
FRANCE,77.0,83.46,2.4,82.11591264292994
NETHERLANDS,81.5,82.3,3.34,81.58197159922989
NORWAY,75.8,83.46,2.28,81.3209128776093
TAIWAN,87.1,80.75,3.9,81.20495666094818
GIBRALTAR,,,6.13,80.96273291925466
HONG KONG,66.5,85.63,2.52,79.79142196492897
AUSTRALIA,72.0,84.07,2.96,79.42427368700768
AUSTRIA,78.9,82.12,3.2,79.27304990303996
FINLAND,77.6,82.08,2.11,79.20073877018056
NEW ZEALAND, NA,82.25,3.6,79.19947779060035
SWITZERLAND,71.2,84.09,3.0,78.83520826371637
DENMARK,77.2,82.09,3.0,78.09564705232373
BELGIUM,76.4,82.27,3.15,77.82598245691675
LUXEMBOURG,74.2,82.36,3.21,76.34492380315774
PORTUGAL,72.0,82.55,2.47,75.87288507676438
ICELAND,69.1,83.01,1.63,75.6769782414651
SWEDEN,68.3,83.42,2.3,75.5293017150239
ITALY,64.9,83.87,3.11,73.39192621458477
GREENLAND,,,8.6,73.29192546583852
GERMANY,72.4,81.54,3.14,72.88777752096495
UNITED KINGDOM,72.7,81.45,3.8,72.26226045934304
CZECHIA,76.0,79.97,2.37,72.18582234237961
CANADA,68.6,82.72,4.31,72.03758297224805
SLOVENIA,66.2,81.78,1.5,70.36341724238224
ESTONIA,75.2,79.31,3.38,68.90001768629388
GREECE,58.9,82.03,3.49,63.65220296047871
MALTA,53.3,83.47,4.45,62.323022686732756
UNITED STATES,67.0,79.46,5.1,61.49657713129508
LITHUANIA,75.4,76.17,3.61,60.55736646206128
IRELAND,51.2,82.58,3.41,59.358328042004125
CROATIA,65.1,,8.58,58.96921006930863
POLAND,57.9,78.81,4.1,53.83777081164166
GAZA STRIP,,,14.87,53.81987577639753
SLOVAKIA,58.2,78.49,5.3,52.1026880413024
LATVIA,63.6,76.33,4.78,50.97231307588681
BOSNIA AND HERZEGOVINA,54.6,78.04,5.1,48.38206801629452
MEXICO,72.3,75.26,12.0,47.99855436282938
TURKEY (TURKIYE),71.3,77.42,18.9,46.509766977070804
HUNGARY,54.2,77.18,4.55,46.32458988687839
NORTH MACEDONIA,55.4,77.54,7.16,45.7489558006532
ROMANIA,56.5,76.09,5.65,44.16368682506418
SERBIA,52.1,76.94,4.6,44.058276322821385
ALBANIA,48.1,79.78,10.54,42.98990888077918
BULGARIA,58.3,75.8,7.82,42.737482099833876
MONTENEGRO,47.4,77.25,3.2,42.62838963793365
RUSSIA,61.6,73.34,6.33,40.132897141892244
BELARUS,49.6,74.62,3.23,37.328168223562116
UKRAINE,55.8,74.69,9.0,36.82210518381055
VIETNAM,62.2,74.74,14.4,36.75916047972109
CABO VERDE,,76.22,22.96,30.717950187727496
KOSOVO,49.0,78.88,24.9,27.91802283673983
MOLDOVA,52.2,71.33,11.38,23.024719558177015
ALGERIA,54.5,,,17.884130982367765
North Korea,,73.74,,15.886618325642694
"KOREA, NORTH", 47.5,73.7,22.0,15.827848345965414
WORLD,,,30.8,4.34782608695653
BURMA,,,32.2,0.0
