Country,criminality_2025,peace_index,terrorism_index,crime_safe,peace_safe,terror_safe,safety_index_risk_focused
GREENLAND,,1.2,0.0,,0.998939605726129,1.0,99.9646535242043
MONACO,2.58,1.407,0.0,0.9139784946236559,0.9964452691955463,1.0,96.48804516885716
LUXEMBOURG,2.75,1.656,0.0,0.8835125448028673,0.9934448353978889,1.0,95.20939850007248
FINLAND,3.25,1.474,0.0,0.7939068100358423,0.9956379235552129,1.0,91.66903087253795
ICELAND,3.03,1.112,0.233,0.8333333333333334,1.0,0.9440978886756238,91.09724888035828
ESTONIA,3.87,1.615,0.0,0.6827956989247312,0.9939388827300333,1.0,87.19060561158992
SINGAPORE,4.0,1.339,0.0,0.6594982078853047,0.9972646647708102,1.0,86.32522161082841
LATVIA,4.08,1.661,0.0,0.6451612903225806,0.9933845857232371,1.0,85.67414332736797
DENMARK,4.1,1.382,0.0,0.6415770609318997,0.9967465175688052,1.0,85.59801278865208
LITHUANIA,4.08,1.672,0.059,0.6451612903225806,0.9932520364390033,0.9858445297504799,85.10527353170248
SLOVENIA,4.28,1.395,0.0,0.6093189964157706,0.9965898684147105,1.0,84.30455722492503
"KOREA, SOUTH",4.42,1.848,0.0,0.5842293906810037,0.9911312478912614,1.0,83.19180058506538
CZECHIA,4.55,1.459,0.0,0.5609318996415771,0.9958186725791681,1.0,82.35364943724646
HUNGARY,4.62,1.502,0.0,0.5483870967741935,0.995300525377163,1.0,81.841494378511
POLAND,4.67,1.678,0.0,0.5394265232974911,0.9931797368294212,1.0,81.44065566848808
ANDORRA,2.7,1.198,1.583,0.8924731182795699,0.9989637055959898,0.6202015355086372,80.48626026344809
ROMANIA,4.83,1.755,0.0,0.510752688172043,0.992251891839784,1.0,80.27514536367741
MALTA,4.87,1.474,0.0,0.5035842293906809,0.9956379235552129,1.0,80.05612764673148
LIECHTENSTEIN,2.1,1.841,0.0,1.0,0.0,1.0,80.0
PORTUGAL,4.97,1.372,0.0,0.4856630824372761,0.9968670169181086,1.0,79.36386363585322
IRELAND,4.97,1.303,0.03,0.4856630824372761,0.9976984624283028,0.9928023032629558,79.09258467657534
NORTH MACEDONIA,5.0,1.764,0.0,0.48028673835125446,0.9921434424254109,1.0,79.05433838255841
CROATIA,5.02,1.504,0.0,0.47670250896057353,0.9952764255073022,1.0,78.973628868569
TAIWAN,5.1,1.818,0.0,0.4623655913978495,0.9914927459391719,1.0,78.32447857469742
ALBANIA,5.2,1.809,0.0,0.4444444444444444,0.9916011953535451,1.0,77.60980168484869
SWITZERLAND,4.65,1.35,0.627,0.543010752688172,0.9971321154865763,0.8495681381957774,75.64579794508951
MOLDOVA,5.53,1.976,0.0,0.3853046594982079,0.9895888562201764,1.0,75.20396350433185
AUSTRIA,4.3,1.313,0.953,0.6057347670250897,0.9975779630789994,0.7713531669865643,75.03507662204615
BULGARIA,5.58,1.629,0.0,0.3763440860215054,0.9937701836410083,1.0,74.92916711368038
SWEDEN,4.73,1.782,0.735,0.528673835125448,0.9919265435966645,0.8236564299424185,73.93174147464795
MONTENEGRO,5.82,1.746,0.0,0.33333333333333326,0.9923603412541572,1.0,73.18054015841648
JAPAN,4.25,1.525,1.189,0.6146953405017921,0.9950233768737649,0.7147312859884837,73.07753259708633
BELARUS,5.83,2.291,0.0,0.3315412186379928,0.9857931267171157,1.0,72.97751127986203
BOSNIA AND HERZEGOVINA,5.92,1.961,0.0,0.3154121863799284,0.9897696052441317,1.0,72.41187956007977
NETHERLANDS,5.17,1.527,0.577,0.44982078853046603,0.9949992770039042,0.8615642994241843,72.35538905826411
AUSTRALIA,4.07,1.536,1.475,0.6469534050179211,0.9948908275895311,0.6461132437619961,71.62048250298731
NORWAY,3.83,1.638,1.747,0.6899641577060932,0.9936617342266352,0.5808541266794626,70.70596605995493
SERBIA,6.18,1.93,0.0,0.26881720430107525,0.9901431532269725,1.0,70.55555123658247
SLOVAKIA,4.75,1.634,1.092,0.525089605734767,0.9937099339663565,0.738003838771593,70.39793645958154
CANADA,4.17,1.449,1.753,0.6290322580645162,0.9959391719284716,0.5794145873320538,68.25665725443223
VIETNAM,6.58,1.802,0.0,0.19713261648745517,0.9916855448980576,1.0,67.71901555745936
NEW ZEALAND,4.13,1.323,1.947,0.6362007168458782,0.9974574637296959,0.5328694817658349,66.71195721906244
CHINA,6.32,2.101,0.582,0.2437275985663081,0.9880826143538824,0.8603646833013436,63.92534356178372
BELGIUM,4.82,1.51,1.904,0.5125448028673835,0.9952041258977201,0.5431861804222649,62.13332184954034
KOSOVO,6.05,1.945,1.218,0.29211469534050183,0.9899624042030173,0.7077735124760076,59.79477639672073
SPAIN,6.05,1.597,1.669,0.29211469534050183,0.9941557815587796,0.5995681381957774,55.55042897262676
ITALY,6.37,1.692,1.447,0.23476702508960579,0.9930110377403962,0.652831094049904,55.36414552038832
UKRAINE,6.45,3.28,1.686,0.22043010752688175,0.9738757410709982,0.595489443378119,52.114296857620005
UNITED KINGDOM,5.87,1.703,2.373,0.32437275985663083,0.9928784884561623,0.43066218809980805,50.05896768738081
GERMANY,5.35,1.542,2.782,0.41756272401433703,0.994818527979949,0.3325335892514396,49.90022309023005
MEXICO,7.68,2.778,1.04,0.0,0.9799248084060346,0.7504798464491362,49.617690026086144
FRANCE,5.92,2.088,2.647,0.3154121863799284,0.9882392635079771,0.3649232245681383,46.97820170808221
GREECE,5.55,1.793,3.028,0.381720430107527,0.9917939943124308,0.2735124760076776,46.0451961308568
RUSSIA,6.92,3.249,3.016,0.1362007168458781,0.9742492890538391,0.2763915547024952,35.98867664301172
UNITED STATES,5.87,2.622,4.141,0.32437275985663083,0.9818045982551694,0.006477927063339717,32.87011944190221
TURKEY (TURKIYE),7.2,2.78,4.168,0.08602150537634412,0.979900708536174,0.0,23.038874385777245
