Country,telephone_fixed_subscriptions_total,mobile_cellular_subscriptions_total,internet_users_total
ALBANIA,197690,2635466,2291000
ANDORRA,19075931,56805348,44180000
AUSTRALIA,7180000,28270000,22310000
AUSTRIA,3808709,10882217,8276999
BELARUS,4332754,11760087,8352000
BELGIUM,3293420,11740118,10920000
BOSNIA AND HERZEGOVINA,689295,3728775,2508000
BULGARIA,787637,7902756,5175000
CANADA,13470000,35960000,33950632
CHINA,182835000,1750460000,1010740000
CROATIA,1268941,4402213,3321000
CZECHIA,1294806,13129905,9130000
DENMARK,706604,7287875,5841000
ESTONIA,296620,1980838,1183000
FINLAND,207000,7000000,5115000
FRANCE,35500000,73830000,60421689
GERMANY,38800000,107200000,79127551
GREECE,4913036,11494008,7800000
GREENLAND,6352,66605,38920
HUNGARY,2955979,10248653,8633000
ICELAND,100482,437270,370000
IRELAND,1595061,5373865,4750000
ITALY,19994902,78114933,44250000
JAPAN,61210000,204700000,116565962
"KOREA, SOUTH",23213189,72855492,50960000
KOSOVO,383763,1777859,1756300
LATVIA,191798,2161725,1729000
LIECHTENSTEIN,2956500,11060700,8352000
LITHUANIA,290711,3726653,2436000
LUXEMBOURG,270000,880000,633600
MALTA,259439,644955,461100
MEXICO,24366595,123920752,98800000
MOLDOVA,1000228,3900179,1891000
MONACO,42812,36255,31820
MONTENEGRO,189519,1120074,516600
NETHERLANDS,5024000,21888000,16559999
NEW ZEALAND,,,
NORTH MACEDONIA,425646,1941352,1743000
NORWAY,350000,5800000,5346000
POLAND,5308497,50588785,32299999
PORTUGAL,5318750,12476165,8199999
ROMANIA,2606000,22929000,15960000
RUSSIA,24000000,250000000,132000000
SERBIA,2540276,8501519,5589000
SINGAPORE,1887500,8660700,5369000
SLOVAKIA,577390,7362325,4806000
SLOVENIA,695444,2607268,1869000
SPAIN,3000,5000,2473
SWEDEN,1382146,12843683,8800000
SWITZERLAND,,,
TAIWAN,13000000,30000000,21600000
TURKEY (TURKIYE),12000000,86000000,68850000
UKRAINE,2300000,56000000,34596356
UNITED KINGDOM,26900000,80220000,65001016
UNITED STATES,107280000,496800000,311870000
VIETNAM,3100000,140000000,71780000
