Country,Criminality_2025,Score Change 2023 - 2025,Criminality,Criminal markets,Criminal actors,Resilience
ALBANIA,5.20,0.03,5.20,4.90,5.50,5.17
ANDORRA,2.70,-0.52,2.70,2.20,3.20,8.00
AUSTRALIA,4.07,0.07,4.07,4.43,3.70,7.54
AUSTRIA,4.30,0.17,4.30,4.30,4.30,7.54
BELARUS,5.83,-0.04,5.83,5.37,6.30,3.08
BELGIUM,4.82,0.39,4.82,5.53,4.10,7.17
BOSNIA AND HERZEGOVINA,5.92,0.07,5.92,5.43,6.40,3.88
BULGARIA,5.58,-0.07,5.58,5.47,5.70,5.33
CANADA,4.17,0.29,4.17,4.13,4.20,7.38
CROATIA,5.02,-0.13,5.02,4.83,5.20,5.92
CZECHIA,4.55,-0.13,4.55,4.80,4.30,6.50
DENMARK,4.10,0.08,4.10,4.30,3.90,8.21
ESTONIA,3.87,-0.38,3.87,3.93,3.80,8.04
FINLAND,3.25,0.27,3.25,3.40,3.10,8.42
FRANCE,5.92,0.10,5.92,6.13,5.70,7.04
GERMANY,5.35,0.02,5.35,5.40,5.30,7.42
GREECE,5.55,0.20,5.55,4.90,6.20,5.13
GREENLAND,N/A,N/A,N/A,N/A,N/A,N/A
CHINA,6.32,-0.05,6.63,6.00,5.54
HUNGARY,4.62,0.00,4.62,4.53,4.70,4.79
ICELAND,3.03,-0.34,3.03,2.97,3.10,8.17
IRELAND,4.97,-0.11,4.97,5.13,4.80,7.42
ITALY,6.37,0.15,6.37,5.83,6.90,6.38
JAPAN,4.25,-0.03,4.25,3.90,4.60,7.50
KOSOVO,6.05,0.03,5.95,6.27,6.31,4.25
"KOREA, SOUTH",4.42,-0.01,4.42,3.63,5.20,8.00
LATVIA,4.08,0.18,4.08,4.47,3.70,7.63
LIECHTENSTEIN,2.10,-0.17,2.10,2.20,2.00,8.42
LITHUANIA,4.08,0.18,4.08,4.07,4.10,7.38
LUXEMBOURG,2.75,-0.10,2.75,2.80,2.70,7.50
MALTA,4.87,-0.13,4.87,4.13,5.60,5.08
MEXICO,7.68,0.11,7.68,8.27,7.10,4.50
MOLDOVA,5.53,-0.07,5.53,4.97,6.10,4.08
MONACO,2.58,0.00,2.58,1.67,3.50,5.83
MONTENEGRO,5.82,-0.08,5.82,5.13,6.50,4.83
NETHERLANDS,5.17,0.20,5.17,5.33,5.00,7.42
NEW ZEALAND,4.13,0.05,4.13,3.87,4.40,7.88
NORTH MACEDONIA,5.00,-0.03,5.00,4.80,5.20,5.29
NORWAY,3.83,0.08,3.83,4.17,3.50,7.92
POLAND,4.67,0.19,4.67,5.13,4.20,6.08
PORTUGAL,4.97,0.09,4.97,4.73,5.20,6.58
ROMANIA,4.83,0.25,4.83,5.37,4.30,5.88
RUSSIA,6.92,0.05,6.92,6.93,6.90,3.42
SERBIA,6.18,-0.04,6.18,5.67,6.70,4.92
SINGAPORE,4.00,-0.05,4.05,3.83,4.53,7.50
SLOVAKIA,4.75,0.03,4.75,4.70,4.80,4.88
SLOVENIA,4.28,-0.09,4.28,3.97,4.60,6.21
SPAIN,6.05,0.15,6.05,5.90,6.20,6.67
SWEDEN,4.73,0.03,4.73,4.67,4.80,7.38
SWITZERLAND,4.65,-0.22,4.65,4.80,4.50,7.25
TAIWAN,5.10,0.12,5.10,5.30,4.90,7.21
TURKEY (TURKIYE),7.20,0.17,7.20,6.90,7.50,3.96
UKRAINE,6.45,-0.03,6.45,6.40,6.50,4.54
UNITED KINGDOM,5.87,0.12,5.87,5.63,6.10,7.63
UNITED STATES,5.87,0.20,5.87,6.13,5.60,6.96
VIETNAM,6.58,0.03,6.58,6.57,6.60,4.79
