Country,Total_Population,Population_Growth_Rate,Birth_Rate,Death_Rate,Net_Migration_Rate,Median_Age,Sex_Ratio,Infant_Mortality_Rate,Total_Fertility_Rate,Total_Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Youth_Unemployment_Rate
ALBANIA,3101621,0.19%,12.48,7.36,3.22,34.3,0.97,10.54,1.55,98.4%,38.8%,6%,27.8%
ANDORRA,85468,0.11%,6.87,7.98,0.0,46.2,1.05,3.39,1.46,100%,35.3%,28.3%,36.9%
ARCTIC OCEAN,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
ATLANTIC OCEAN,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
AUSTRALIA,26461166,1.19%,12.23,6.76,6.39,37.5,0.99,2.96,1.73,96.6%,15.6%,11.5%,10.8%
AUSTRIA,8940860,0.31%,9.39,9.86,3.54,44.5,0.96,3.2,1.51,98%,27.7%,25%,11.4%
BELARUS,9383853,0.32%,8.87,12.81,0.72,40.9,0.87,3.23,1.52,99.9%,47.4%,13.5%,11.3%
BELGIUM,11913633,0.55%,10.86,9.57,4.18,41.6,0.97,3.15,1.77,99%,25.8%,21%,19.6%
BOSNIA AND HERZEGOVINA,3807764,0.23%,8.31,10.26,0.38,43.3,0.95,5.1,1.37,98.1%,42%,28%,32.9%
BULGARIA,6827736,0.66%,7.97,14.31,0.29,43.7,0.95,7.82,1.51,98.4%,40.9%,37.1%,14.2%
BURMA,57970293,0.75%,16.04,7.14,1.36,29.2,0.97,32.2,2.0,89.1%,68.5%,19.7%,6.4%
CABO VERDE,603901,1.19%,18.19,5.77,0.57,26.8,0.95,22.96,2.11,90.8%,17.3%,5.4%,34.3%
CANADA,38516736,0.73%,10.11,8.17,5.37,41.8,0.98,4.31,1.57,99%,15.3%,10.7%,14%
CROATIA,4169239,0.47%,8.6,12.98,0.26,43.9,1.01,8.58,1.46,99.4%,37.6%,36.1%,23.6%
