Country,Real_GDP_PPP_billion_USD,GDP_Official_Exchange_Rate_billion_USD,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Unemployment_Rate_percent,Youth_Unemployment_Rate_percent,Budget_billion_USD,Budget_Surplus_billion_USD,Budget_Deficit_percent_of_GDP,Public_Debt_percent_of_GDP,Exports_billion_USD,Imports_billion_USD,Exchange_Rate_per_USD,Population_Below_Poverty_Line_percent
ALBANIA,40.82,15.27,8.52,14500,11.82,27.8,4.19,2,-2,84.06,5.61,8,103.52,14.3
ANDORRA,1798,1393351000000,5.52,37900,14.73,36.9,546.08,3.1,-3.1,141.22,497.87,476.68,0.845,20.7
AUSTRALIA,1279,1390790000000,2.24,49800,5.11,10.8,479.33,0.5,-0.5,69.41,389.79,298.71,1.331,
AUSTRIA,484.7,445.02,4.56,54100,6.3,11.4,218.48,0.7,-0.7,99.91,268.28,265.77,0.845,13.3
BELARUS,184.48,63.17,2.3,19800,4.74,11.3,24.74,2.9,2.9,33.24,49.42,45.46,2.539,5
BELGIUM,599.81,533.03,6.13,51700,6.42,19.6,267.11,1,-1,119.43,515.62,509.02,0.845,14.8
BOSNIA AND HERZEGOVINA,51.24,20.08,7.55,15700,15.22,32.9,8.43,2.1,2.1,46.05,9.95,12.73,1.654,16.9
BULGARIA,167.8,68.49,7.63,24400,5.42,14.2,24.49,1.8,1.8,32.24,51.51,50.06,1.654,23.8
CANADA,1832,,4.54,47900,7.51,14,686.72,1,-1,72.09,611.15,609.26,1.254,9.4
CHINA,17730,14722,3,12500,5.2,16.7,3560,,7.2,76.9,3593,2714,6.73,1.7
CROATIA,123.35,,13.07,31600,8.68,23.6,212.81,0.8,0.8,104.89,35.31,36.33,0.845,18.3
CZECHIA,428.02,,3.54,40700,2.89,7.6,103.84,1.6,1.6,34.7,204.78,196.24,21.678,10.1
DENMARK,352.44,350.04,3.8,59700,4.8,10.1,185.65,1.1,1.1,35.3,234.26,208.12,6.287,12.5
ESTONIA,51.53,,8.01,38700,6.33,17.1,12.28,0.3,-0.3,23.77,29.06,29.23,0.845,21.7
FINLAND,275.55,,2.1,49600,7.53,18.1,140.64,0.6,-0.6,61.3,116.91,116.28,0.845,12.2
FRANCE,3048,2778,6.8,45900,8.1,18.8,1392,,7,123,569.1,571.4,0.85,13.6
GERMANY,4260,4230,1.8,51200,3,7.5,1797,12.8,,63.9,1813,1665,0.85,14.8
GREECE,314.43,209.79,8.43,29500,14.8,36.9,98.52,0.8,0.8,252.29,87.52,103.53,0.845,17.9
GREENLAND,2.41,2.22,0.36,41800,9.1,,1.72,5.6,5.6,13,407.1,783.5,6.287,16.2
HONG KONG,,,,54247,,15,,,,,,,,
HUNGARY,326.19,163.25,7.12,33600,4.12,13.5,70.83,2,-2,96.11,148.23,147.58,303.141,12.3
ICELAND,19.96,24.61,4.4,53600,5.4,13.4,11.78,1.5,1.5,100.02,9.78,10.23,126.989,8.8
IRELAND,515.88,398.48,13.59,102500,6.63,17.4,99.78,0.3,-0.3,71.58,677.03,477.54,0.845,13.1
ITALY,2478,2002763000000,6.74,41900,9.83,30.9,901.49,2.3,-2.3,131.8,687.95,637.93,0.845,20.1
JAPAN,4940,5060,1,39300,2.6,4.1,1714,,8.2,261.3,756,721,110.2,15.7
"KOREA, SOUTH",2289,1646604000000,4.15,44200,3.53,7.8,378.55,1.4,1.4,46.43,771.2,698.1,1,14.4
KOSOVO,21.23,7.93,10.75,11900,30.5,48.8,1.95,2.1,-2.1,21.2,3.14,6.13,0.845,17.6
LATVIA,60.46,34.08,4.07,32100,7.6,15.5,12.93,0.5,-0.5,36.3,25.25,26.62,0.845,22.9
LIECHTENSTEIN,618.23,731.5,4.22,71000,5.32,9.1,239.77,1.1,1.1,20.91,571.38,480.52,0.914,16
LITHUANIA,110.09,54.6,5.98,39300,7.9,19,18.64,0.5,0.5,53.28,53.4,50.38,0.845,20.6
LUXEMBOURG,74.05,71.09,5.1,115700,5.23,15.2,31.74,1.5,1.5,23,177.83,148.15,0.845,17.5
MALTA,23.16,14.99,10.3,44700,3.5,9.8,5.66,3.9,3.9,50.7,22.11,21.36,0.845,17.1
MEXICO,2418,1269956000000,4.72,19100,4.38,8.1,264.26,1.1,-1.1,54.3,522.24,544.75,20.272,41.9
MOLDOVA,36.64,11.98,13.94,14000,3.96,8.6,3.58,0.6,-0.6,33.01,4.2,7.92,17.68,7.3
