Country,electricity_access_percent
ALBANIA,100
ANDORRA,100
AUSTRALIA,100
AUSTRIA,100
BELARUS,100
BELGIUM,100
BOSNIA AND HERZEGOVINA,100
BULGARIA,99
CANADA,100
CHINA,100
CROATIA,100
CZECHIA,100
DENMARK,100
ESTONIA,100
FINLAND,100
FRANCE,100
GERMANY,100
GREECE,100
GREENLAND,100
HUNGARY,100
ICELAND,100
IRELAND,100
ITALY,100
JAPAN,100
"KOREA, SOUTH",100
KOSOVO,100
LATVIA,100
LIECHTENSTEIN,100
LITHUANIA,100
LUXEMBOURG,100
MALTA,100
MEXICO,100
MOLDOVA,100
MONACO,100
MONTENEGRO,99
NETHERLANDS,100
NEW ZEALAND,100
NORTH MACEDONIA,100
NORWAY,100
POLAND,100
PORTUGAL,100
ROMANIA,100
RUSSIA,100
SERBIA,100
SINGAPORE,100
SLOVAKIA,100
SLOVENIA,100
SPAIN,100
SWEDEN,100
SWITZERLAND,100
TAIWAN,100
TURKEY (TURKIYE),100
UKRAINE,100
UNITED KINGDOM,100
UNITED STATES,100
VIETNAM,100
