Country,Geographic_Coordinates,Area_Total,Land_Area,Water_Area,Land_Boundaries,Coastline,Highest_Elevation,Lowest_Elevation,Forest_Land,Other_Land,Agricultural_Land,Arable_Land (%% of Total Agricultural Land),Permanent_Crops (%% of Total Agricultural Land),Permanent_Pasture (%% of Total Agricultural Land),Irrigated_Land
ALBANIA,"41 00 N, 20 00 E","28,748 sq km","27,398 sq km","1,350 sq km",691 km,362 km,"2,764 m",0 m,28.8,28.2,42.8,22.3,3.0,17.4,"1,820 sq km"
ANDORRA,"42 30 N, 1 30 E",468 sq km,468 sq km,0 sq km,118 km,0 km,"2,946 m",840 m,34.0,26.0,40.0,1.7,0.0,38.3,0 sq km
ARCTIC OCEAN,"90 00 N, 0 00 E",15.558 million sq km,0 sq km,15.558 million sq km,0 km,"45,389 km",0 m,"-5,577 m",0.0,0.0,0.0,0.0,0.0,0.0,0 sq km
ATLANTIC OCEAN,"0 00 N, 25 00 W",85.133 million sq km,0 sq km,85.133 million sq km,0 km,"111,866 km",0 m,"-8,605 m",0.0,0.0,0.0,0.0,0.0,0.0,0 sq km
AUSTRALIA,"27 00 S, 133 00 E","7,741,220 sq km","7,682,300 sq km","58,920 sq km",0 km,"25,760 km","2,228 m",-15 m,17.42,33.42,46.65,4.03,0.04,42.58,"15,210 sq km"
AUSTRIA,"47 20 N, 13 20 E","83,871 sq km","82,445 sq km","1,426 sq km","2,524 km",0 km,"3,798 m",115 m,47.2,14.4,38.4,16.5,0.8,21.1,382 sq km
BELARUS,"53 00 N, 28 00 E","207,600 sq km","202,900 sq km","4,700 sq km","3,599 km",0 km,346 m,90 m,42.7,13.6,43.7,27.2,0.6,15.9,303 sq km
BELGIUM,"50 50 N, 4 00 E","30,528 sq km","30,278 sq km",250 sq km,"1,297 km",66.5 km,694 m,0 m,22.4,33.5,44.1,27.2,0.8,16.1,57 sq km
BOSNIA AND HERZEGOVINA,"44 00 N, 18 00 E","51,197 sq km","51,187 sq km",10 sq km,"1,543 km",20 km,"2,386 m",0 m,42.8,15.0,42.2,19.7,2.0,20.5,30 sq km
BULGARIA,"43 00 N, 25 00 E","110,879 sq km","108,489 sq km","2,390 sq km","1,806 km",354 km,"2,925 m",0 m,36.7,16.4,46.9,29.9,1.5,15.5,987 sq km
BURMA,"22 00 N, 98 00 E","676,578 sq km","653,508 sq km","23,070 sq km","6,522 km","1,930 km","5,870 m",0 m,48.2,32.6,19.2,16.5,2.2,0.5,"17,140 sq km"
CABO VERDE,"16 00 N, 24 00 W","4,033 sq km","4,033 sq km",0 sq km,0 km,965 km,"2,829 m",0 m,21.0,60.4,18.6,11.7,0.7,6.2,35 sq km
CANADA,"60 00 N, 95 00 W","9,984,670 sq km","9,093,507 sq km","891,163 sq km","8,892 km","202,080 km","5,959 m",0 m,34.1,59.1,6.8,4.7,0.5,1.6,"9,045 sq km"
