Country,peace_index,Change
ALBANIA,1.809,-3
ANDORRA,84.5,0
AUSTRALIA,1.536,2
AUSTRIA,1.313,1
BELARUS,2.291,3
BELGIUM,1.510,-2
BOSNIA AND HERZEGOVINA,1.961,-5
BULGARIA,1.629,5
CANADA,1.449,1
CROATIA,1.504,1
CZECHIA,1.459,-1
DENMARK,1.382,3
ESTONIA,1.615,3
FINLAND,1.474,2
FRANCE,2.088,-14
GERMANY,1.542,-4
GREECE,1.793,17
HONG KONG,0,0
HUNGARY,1.502,4
ICELAND,1.112,0
IRELAND,1.303,0
ITALY,1.692,0
JAPAN,1.525,-4
KOSOVO,1.945,3
"KOREA, NORTH",3.055,-2
"KOREA, SOUTH",1.848, 6
LATVIA,1.661,-3
LIECHTENSTEIN,84.1,0
LITHUANIA,1.672,6
LUXEMBOURG,1.656,-9
MALTA,83.8,0
MEXICO,2.778,-1
MOLDOVA,1.976,-2
MONACO,86.7,0
MONTENEGRO,1.746,5
NETHERLANDS,1.527,1
NEW ZEALAND,1.323,-1
NORTH MACEDONIA,1.764,-2
NORWAY,1.638,-5
POLAND,1.678,-3
PORTUGAL,1.372,-1
ROMANIA,1.755,-1
RUSSIA,3.249,2
SERBIA,1.930,8
SLOVAKIA,1.634,-2
SLOVENIA,1.395,-2
SPAIN,1.597,7
SWEDEN,1.782,-5
SWITZERLAND,1.350,3
TAIWAN,1.818,1
TURKEY (TURKIYE),2.780,0
UKRAINE,3.280,-3
UNITED KINGDOM,1.703,-2
UNITED STATES,2.622,-2
VIETNAM,1.802,-3
