country,terrorism_index,rank_change
ALBANIA,0.000,5
ANDORRA,1.583,0
AUSTRALIA,1.475,2
AUSTRIA,0.953,5
BELARUS,0.000,5
BELGIUM,1.904,11
BOSNIA AND HERZEGOVINA,0.000,5
BULGARIA,0.000,5
CANADA,1.753,4
CROATIA,0.000,0
CZECHIA,0.000,5
DENMARK,0.000,2
ESTONIA,0.000,5
FINLAND,0.000,5
FRANCE,2.647,4
GERMANY,2.782,-2
GREECE,3.028,-8
HONG KONG, 0.582, 21
HUNGARY,0.000,5
ICELAND,0.233,2
IRELAND,0.030,0
ITALY,1.447,4
JAPAN,1.189,0
KOSOVO,1.218,28
"KOREA, NORTH",0.000,5
"KOREA, SOUTH",0.000,5
LATVIA,0.000,5
LIECHTENSTEIN
LITHUANIA,0.059,0
LUXEMBOURG,0.000,5
MALTA,0.000,0
MEXICO,1.040,1
MOLDOVA,0.000,5
MONACO,0.000,5
MONTENEGRO,0.000,5
NETHERLANDS,0.577,4
NEW ZEALAND,1.947,2
NORTH MACEDONIA,0.000,5
NORWAY,1.747,3
POLAND,0.000,5
PORTUGAL,0.000,5
ROMANIA,0.000,3
RUSSIA,3.016,8
SERBIA,0.000,5
SLOVAKIA,1.092,5
SLOVENIA,0.000,5
SPAIN,1.669,1
SWEDEN,0.735,4
SWITZERLAND,0.627,4
TAIWAN,0.000,5
TURKEY (TURKIYE),4.168,-8
UKRAINE,1.686,20
UNITED KINGDOM,2.373,-1
UNITED STATES,4.141,-1
VIETNAM,0.000,5
