Country,Capital,Suffrage_Age
ALBANIA,Tirana,18
ANDORRA,Andorra la Vella,18
AUSTRALIA,Canberra,18
AUSTRIA,Vienna,16
BELARUS,Minsk,18
BELGIUM,Brussels,18
BOSNIA AND HERZEGOVINA,Sarajevo,18
BULGARIA,Sofia,18
CANADA,Ottawa,18
CHINA,Beijing,18
CROATIA,Zagreb,18
CZECHIA,Prague,18
DENMARK,Copenhagen,18
ESTONIA,Tallinn,18
FINLAND,Helsinki,18
FRANCE,Madrid,18
GERMANY,Berlin,18
GREECE,Athens,17
GREENLAND,Nuuk,18
HUNGARY,Budapest,18
ICELAND,Reykjavik,18
IRELAND,Dublin,18
ITALY,Rome,18
JAPAN,Tokyo,18
"KOREA, SOUTH","Seoul; note - Sejong, located some 120 km",18
KOSOVO,Pristina,18
LATVIA,Riga,18
LIECHTENSTEIN,Vaduz,18
LITHUANIA,Vilnius,18
LUXEMBOURG,Luxembourg,18
MALTA,Valletta,18
MEXICO,Mexico City,18
MOLDOVA,Chisinau in Romanian,18
MONACO,Monaco,18
MONTENEGRO,Podgorica; note - Cetinje retains the status of “Old Royal Capital”,18
NETHERLANDS,Amsterdam; note - The Hague is the seat of government,18
NEW ZEALAND,Wellington,18
NORTH MACEDONIA,Skopje,18
NORWAY,Oslo,18
POLAND,Warsaw,18
PORTUGAL,Lisbon,18
ROMANIA,Bucharest,18
RUSSIA,Moscow,18
SERBIA,Belgrade,18
SINGAPORE,Singapore,21
SLOVAKIA,Bratislava,18
SLOVENIA,Ljubljana,18
SPAIN,Madrid,18
SWEDEN,Stockholm,18
SWITZERLAND,Bern,18
TAIWAN,Taipei,20
TURKEY (TURKIYE),Ankara,18
UKRAINE,Kyiv,18
UNITED KINGDOM,London,18
UNITED STATES,"Washington, DC",18
VIETNAM,Hanoi,18
