Country,Sum of Females  Life Expectancy,Sum of Life Expectancy  (both sexes),Sum of Males  Life Expectancy
Albania,81.59,79.78,77.92
Andorra,86.2,84.2,82.3
Australia,85.85,84.07,82.28
Austria,84.45,82.12,79.75
Belarus,79.22,74.62,69.74
Belgium,84.45,82.27,80.06
Bosnia and Herzegovina,81.07,78.04,74.65
Bulgaria,79.36,75.8,72.33
Cabo Verde,79.37,76.22,73.05
Canada,84.91,82.72,80.53
Czech Republic (Czechia),82.75,79.97,77.18
Denmark,83.98,82.09,80.21
Estonia,83.17,79.31,75.12
Finland,84.79,82.08,79.38
France,86.2,83.46,80.59
Germany,83.88,81.54,79.21
Greece,84.46,82.03,79.5
GREENLAND
Hong Kong,88.26,85.63,82.97
Hungary,80.33,77.18,73.89
Iceland,84.47,83.01,81.63
Ireland,84.61,82.58,80.58
Italy,85.87,83.87,81.75
Japan,87.88,84.85,81.83
Kosovo,81.02,78.88,76.55
"Korea, South",87.3,84.4,81.3
Latvia,80.6,76.33,71.75
Lithuania,80.8,76.17,71.42
Luxembourg,83.94,82.36,80.75
Malta,85.39,83.47,81.48
Mexico,78,75.26,72.44
Moldova,75.67,71.33,66.7
Monaco,88.6, 86.5, 84.6
Montenegro,80.45,77.25,73.92
Netherlands,83.85,82.3,80.72
New Zealand,83.89,82.25,80.6
North Korea,75.88,73.74,71.55
North Macedonia,79.71,77.54,75.26
Norway,84.97,83.46,81.94
Poland,82.49,78.81,75.1
Portugal,85.25,82.55,79.68
Romania,79.68,76.09,72.56
Russia,79.19,73.34,67.48
Serbia,80.18,76.94,73.68
SINGAPORE
Slovakia,81.71,78.49,75.21
Slovenia,84.47,81.78,79.11
Spain,86.44,83.8,81.1
Sweden,85.22,83.42,81.65
Switzerland,85.95,84.09,82.17
Taiwan,83.75,80.75,77.86
Turkey,80.34,77.42,74.62
Ukraine,79.39,74.69,69.79
United Kingdom,83.33,81.45,79.54
United States,81.98,79.46,77.05
Vietnam,79.38,74.74,70.05
