Country,airports_paved_runways_count,airports_unpaved_runways_count,heliports_count,roadways_km,railways_km,waterways_km,gas_pipelines_km,oil_pipelines_km,refined_products_pipelines_km,water_pipelines_km
ALBANIA,11.0,3.0,2.0,3945.0,424.0,41.0,498.0,279.0,0.0,0.0
ANDORRA,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCTIC OCEAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC OCEAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRALIA,349.0,131.0,1.0,873573.0,36064.0,2000.0,637.0,3609.0,0.0,0.0
AUSTRIA,24.0,28.0,1.0,137039.0,6123.0,358.0,1888.0,663.0,0.0,0.0
BELARUS,33.0,32.0,1.0,86600.0,5528.0,2500.0,5386.0,1589.0,0.0,0.0
BELGIUM,26.0,15.0,1.0,118414.0,3602.0,2043.0,3139.0,154.0,0.0,0.0
BOSNIA AND HERZEGOVINA,7.0,17.0,6.0,22926.0,965.0,990.0,147.0,0.0,0.0,0.0
BULGARIA,57.0,11.0,1.0,19512.0,4029.0,470.0,2765.0,346.0,378.0,0.0
BURMA,36.0,28.0,11.0,157000.0,5031.0,12800.0,3739.0,1321.0,0.0,0.0
CABO VERDE,9.0,418.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
CANADA,523.0,944.0,26.0,1042300.0,49422.0,636.0,110000.0,100000.0,16500.0,0.0
CROATIA,24.0,45.0,1.0,26958.0,2617.0,0.0,2410.0,610.0,0.0,0.0
CZECHIA,41.0,87.0,1.0,55744.0,9408.0,664.0,7160.0,675.0,0.0,0.0
DENMARK,28.0,52.0,0.0,74558.0,2682.0,400.0,1536.0,330.0,0.0,0.0
ESTONIA,13.0,5.0,1.0,58412.0,1441.0,335.0,0.0,0.0,0.0,0.0
EUROPEAN UNION,1882.0,1244.0,0.0,4894173.0,4894173.0,42000.0,0.0,0.0,0.0,0.0
FINLAND,74.0,74.0,0.0,454000.0,5918.0,8000.0,1288.0,0.0,0.0,0.0
FRANCE,294.0,170.0,1.0,1053215.0,27860.0,0.0,15322.0,2939.0,0.0,0.0
GAZA STRIP,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GERMANY,318.0,221.0,23.0,830000.0,39379.0,7300.0,26985.0,2400.0,4479.0,8.0
GIBRALTAR,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
GREECE,68.0,9.0,9.0,117000.0,2345.0,6.0,1466.0,94.0,0.0,0.0
GREENLAND,10.0,5.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
GUERNSEY,2.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0
HEARD ISLAND AND MCDONALD ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONG KONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNGARY,20.0,21.0,3.0,203601.0,7687.0,1622.0,5874.0,0.0,0.0,0.0
ICELAND,7.0,89.0,0.0,12898.0,0.0,0.0,0.0,0.0,0.0,0.0
INDIAN OCEAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRELAND,16.0,24.0,0.0,99830.0,1688.0,956.0,2427.0,0.0,0.0,0.0
ISLE OF MAN,1.0,0.0,0.0,1107.0,63.0,0.0,0.0,0.0,0.0,0.0
ITALY,98.0,31.0,5.0,487700.0,18475.0,2400.0,20223.0,1393.0,1574.0,0.0
JAPAN,142.0,33.0,16.0,1218772.0,27311.0,1770.0,4456.0,174.0,0.0,104.0
JERSEY,1.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0
"KOREA, NORTH",39.0,43.0,23.0,25554.0,7435.0,2250.0,0.0,0.0,0.0,0.0
"KOREA, SOUTH",71.0,40.0,466.0,100428.0,3979.0,1600.0,3790.0,16.0,0.0,0.0
