Country,Visa Name,Visa Name local language,Temporary/Permanent,Min. Education Level,Additional Requirements,Job Sponsor (Y/N),System used to obtain,Bare bones Cost (local currency) to employee,How many given per year (most recent data),How many applied per year (most recent year),Sources,,
United States ,H-1B,H-1B,Temporary,Bachelor's Degree/Equivalent in experience,,Y,Wage-based weighted selection system (past lottery),205,"188,000","780,884","https://www.uscis.gov/working-in-the-united-states/h-1b-specialty-occupations , https://www.davidsonmorris.com/h1b-visa-cost/#elementor-toc__heading-anchor-1",,
United States ,O-1A,O-1A,Temporary,n/a,"Sustained national or international acclaim in the sciences, education, business, or athletics.",Y,Petition-based and adjudicated individually by USCIS,"10,000","10,010",,"https://www.uscis.gov/working-in-the-united-states/temporary-workers/o-1-visa-individuals-with-extraordinary-ability-or-achievement, https://manifestlaw.com/blog/o1-visa-cost/, https://www.uscis.gov/sites/default/files/document/reports/stem_related_petition_trends_eb2_and_o1a_categories_factsheet_fy23.pdf",,
United States ,EB-1,EB-1,Permanent,n/a,"Extraordinary ability, outstanding professor or researcher, or certain multinational manager or executive","Outside of extraordinary ability, yes",Petition-based and adjudicated individually by USCIS,"715-1,315","31,341","41,166","https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-first-preference-eb-1. https://www.uscis.gov/sites/default/files/document/data/i140_rec_by_class_country_fy2023_%20q4.pdf https://manifestlaw.com/blog/eb1-visa-cost/#:~:text=When%20you%20file%20an%20EB,1B%2C%20for%20an%20extra%20%242%2C805.",,
United States ,EB-2,EB-2,Permanent,n/a,"Advanced degree, Schedule A occupations, exceptional ability",Y,Petition-based and adjudicated individually by USCIS,3200-6000,,,https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-second-preference-eb-2 https://www.raygriffithlaw.com/business-immigration/eb-2-visas/,,
United States ,EB-3,EB-3,Permanent,Bachelor's degree/Equivalent in experience,2 years' experience,Y,Petition-based and adjudicated individually by USCIS,,,,,,
Canada,FSWP,Federal Skilled Workers Program,Permanent,n/a,"1 year of continuous skilled work experience, and language test",N,Point-based system,,,,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,,
Canada,PNP,Provincial Nominee Program,Permanent,n/a,"Eligible for 1 of the province or territory's PNP programs, the province or territory must nominate you, and be eligible for 1 of the 3 express entry programs",N,Point-based and selection system,,,,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees/express-entry/eligibility.html#wb-cont,,
Canada,GTS,Global Talent Stream,Temporary,n/a,Unique and specialized talent or in-demand occupation.,Y,Eligibility and employer-based,,,,https://www.canada.ca/en/employment-social-development/services/foreign-workers/global-talent/requirements.html,,
Mexico,Temporary Resident Visa with work authorization,Visa de Residencia Temporal con permiso para realizar actividades remuneradas,Temporary (up to 4 years),n/a,Employer must obtain authorization from the Instituto Nacional de Migración (INM) before the applicant applies; job offer & employment contract required,Y,Employer-driven ,,"~5,570 MXN (residence card fee) + consular visa fee (~55 USD) + INM authorization (~239 MXN)",,https://www.gob.mx/tramites/ficha/visa-por-oferta-de-empleo/INM73,,
Ireland,CSEP,Critical Skills Employment Permit,Permanent possibility,n/a,"38,000+ euro annually for jobs on the Critical Skills Occupations List, or 64,000+ euro for any job not on the list. Typically favors professional engineers and technologists.",Y,Compliance and employer-based,,,,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,,
United Kingdom,Skilled Worker,Skilled Worker Visa,Permanent possibility,na,"Work for UK employer that has been approved by the Home Office, have a certificate of sponsorship, do a job that's on the list of eligible occupations, be paid a minimum salary.",Y,Point-based system,,,,"https://www.gov.uk/skilled-worker-visa, https://www.qmul.ac.uk/human-resources/media/hr/immigration/Overview-of-Skilled-Worker-Points.pdf",,
United Kingdom,Global Talent,Global Talent Visa,Temporary,n/a,"Be a leader or potential leader in academia, research, arts, culture, or digital technology.",N,Merit-based system,,,,https://www.gov.uk/global-talent,,
United Kingdom,HPI,High Potential Individual Visa,Temporary,Bachelor's,"Qualification at the same level of a UK bachelor's degree, UK post-graduate degree, or UK PhD doctorate, and at least enough money to support yourself for 12 months. ",N,Merit-based system,,,,https://www.gov.uk/high-potential-individual-visa/eligibility,,
EU,Blue Card,Blue card,Permanent possibility,Bachelor's or 5 YOE,"Job offer for a highly-skilled role, salary must meet country-specific thresehold, and health insurance",Y,Merit-based system,,,,"https://ind.nl/en/participating-countries-eu-blue-card, https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal_en",,
Iceland,Work permit,Work permit for expert knowledge,Temporary,Bachelor's,Job offer and employer must show a need for employee.,Y,Merit and need-based system,,,,https://island.is/en/apply-for-a-work-permit/expert-knowledge,,
Norway,Skilled worker with an employer in Norway,Faglært,Permanent possibility,n/a,"Completed either a vocational training program, completed eduction or degree from university, specifical qualifications acquired through long professional experience (minimum 6 years)",Y,Merit and need-based system,,,,https://www.udi.no/en/want-to-apply/work-immigration/skilled-workers/#link-816,,
Sweden,Work permit for highly qualified workers,Work permit for highly qualified workers,Permanent possibility,n/a,"Hold a managerial occupation, occupations that require advanced higher education qualifications, occupations with a requirement for higher education qualifications or equivalent, or EU blue card holders. ",Y,Merit-based system,,,,https://www.migrationsverket.se/en/employers/highly-qualified-workers/if-you-are-employing-highly-qualified-workers.html#svid10_2cd2e409193b84c506a2aac2,,
Finland,Residence permit for persons employed as a specialist,Residence Permit for Employment (Skilled Worker / Specialist Worker),Permanent possibility,n/a,"Are coming to Finland to work in expert duties that require special expertise, salary is at least 3,997 per month in 2026, and have a higher education degree or have acquired special expertise",Y,Eligbility and employer-driven,,,,"https://migri.fi/en/specialist#:~:text=A%20first%20residence%20permit%20for,duration%20of%20your%20employment%20relationship.&text=You%20can%20apply%20for%20this,the%20permit%20in%20two%20weeks.",,
Estonia,Residence permit for employment as a skilled worker,Residence permit for employment as a skilled worker,Permanent possibility,n/a,"Appropriate education, work experience, health, and necessary professional skills and knowledge for job. The employer must comply with other equirements such as registration. ",Y,Eligbility and employer-driven,,,,https://www.politsei.ee/en/instructions/residence-permit-for-employment,,
Belarus,High-qualified employees work permit,High-qualified employees work permit,Temporary,n/a,Employer must show that no Belarusian citizen is available and that you are a highly qualified employee. ,Y,Eligbility and employer-driven,,,,https://en.vmp.by/publications/foreign-nationals-employment/,,
Russia,Work visa for highly-skilled specialist,Work visa for highly-skilled specialist,Permanent possibility,n/a,An invitation issued by the Ministry of Interior of the Russian Federation requested by their Russian employer.,Y,Eligbility and employer-driven,,,,https://netherlands.mid.ru/en/consular%20section/visa/work_visas_hig_spec/,,
Moldova,Work permit,Work permit,Temporary,n/a,The employer or its legal representative shall submit to the National Agency for Employment the documents,Y,Employer-driven ,,,,https://www.mfa.gov.md/en/work-permits ,,https://www.migratie.gov.md
Romania,Employment visa,Employment visa,Temporary,n/a ,"Employer authorization, salary >= national threshold",Y,Employer-driven ,120 euro,,,https://igi.mai.gov.ro/en/category/diverseen/migration/,,
Bulgaria,EU Blue Card,EU Blue Card,Permanent possibility,Bachelor's,"Salary threshold, job offer",Y,Employer-driven ,55 euro,1238,,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-bulgaria_en,,
Turkey,Work Permit,Work Permit ,Temporary,n/a,"Employer sponsorship, salary criteria",Y,Employer-driven ,2600 TRY,,,https://en.goc.gov.tr/work-permit,,
Cyprus,Employment Permit ,Employment Permit ,Temporary ,n/a,Employer driven,Y,Employer-driven ,200 euro,,,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/employed-worker-cyprus_en,,
Greece,EU Blue Card,EU Blue Card,Permanent possibility,Bachelor's,"salary threshold at: 31.918,83 EUR.",Y,Employer-driven ,150 euro ,58,,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/eu-blue-card/eu-blue-card-greece_en,,
North Macedonia,Work Permit,Work Permit,Temporary,n/a ,Employer concludes a contract of employment or does other business with a foreigner following the Law on Employment and Work on Employment of Foreigners.,Y,Employer-driven ,,,,https://investnorthmacedonia.gov.mk/work-visas-and-permits/,,
Albania,Visa for Highly qualified employees,Visa for Highly qualified employees,Temporary,dimploma/higher education,"A valid employment contract in accordance with the legislation in force, which governs labor relations in the Republic of Albania,",Y,Employer-driven ,,,,https://e-visa.al/apply,,
